,p,grad_fV,Ly,A,A_imp,time_p1,time_p2,time_p3
"Ks-3.0,p-13/grad_fV-0.1,nrow-30/",13,0.1,30.0,1500.0,992.9999999999999,369,368,368
"Ks-3.0,p-13/grad_fV-0.1,nrow-40/",13,0.1,40.0,2000.0,1298.0,448,445,443
"Ks-3.0,p-13/grad_fV-0.1,nrow-50/",13,0.1,50.0,2500.0,1578.0,511,509,508
"Ks-3.0,p-13/grad_fV-0.1,nrow-60/",13,0.1,60.0,3000.0,1851.0,585,582,579
"Ks-3.0,p-13/grad_fV-0.1,nrow-70/",13,0.1,70.0,3500.0,2024.0,677,672,667
"Ks-3.0,p-13/grad_fV-0.1,nrow-80/",13,0.1,80.0,4000.0,2203.9999999999995,740,735,732
"Ks-3.0,p-13/grad_fV-0.1,nrow-90/",13,0.1,90.0,4500.0,2394.9999999999995,802,797,793
"Ks-3.0,p-13/grad_fV-0.3,nrow-10/",13,0.3,10.0,500.0,481.0,204,203,203
"Ks-3.0,p-13/grad_fV-0.3,nrow-100/",13,0.3,100.0,5000.0,2527.0000000000005,1008,990,979
"Ks-3.0,p-13/grad_fV-0.3,nrow-20/",13,0.3,20.0,1000.0,962.0,263,263,263
"Ks-3.0,p-13/grad_fV-0.3,nrow-30/",13,0.3,30.0,1500.0,1394.0,317,317,316
"Ks-3.0,p-13/grad_fV-0.3,nrow-40/",13,0.3,40.0,2000.0,1750.0,385,385,384
"Ks-3.0,p-13/grad_fV-0.3,nrow-50/",13,0.3,50.0,2500.0,2050.0,461,460,459
"Ks-3.0,p-13/grad_fV-0.3,nrow-60/",13,0.3,60.0,3000.0,2305.0,543,540,538
"Ks-3.0,p-13/grad_fV-0.3,nrow-70/",13,0.3,70.0,3500.0,2404.0,683,675,669
"Ks-3.0,p-13/grad_fV-0.3,nrow-80/",13,0.3,80.0,4000.0,2479.0,771,763,757
"Ks-3.0,p-13/grad_fV-0.3,nrow-90/",13,0.3,90.0,4500.0,2523.0,886,874,866
"Ks-3.0,p-15/grad_fV-0.1,nrow-10/",15,0.1,10.0,500.0,326.0,230,229,228
"Ks-3.0,p-15/grad_fV-0.1,nrow-100/",15,0.1,100.0,5000.0,2522.9999999999995,837,830,825
